0.00,0.00,0.00,412.00,1632
0.00,0.00,0.00,412.00,1479
0.00,0.00,0.00,412.00,1613
0.00,0.00,0.00,414.00,1713
0.00,0.00,0.00,414.00,1523
0.00,0.00,0.00,414.00,1528
0.00,0.00,0.00,414.00,1744
0.00,0.00,0.00,415.00,1701
0.00,0.00,0.00,414.00,1663
0.00,0.00,0.00,414.00,1768
0.00,0.00,0.00,414.00,1603
0.00,0.00,0.00,414.00,1677
0.00,0.00,0.00,414.00,1638
0.00,0.00,0.00,415.00,1584
0.00,0.00,0.00,415.00,1656
0.00,0.00,0.00,415.00,1548
0.00,0.00,0.00,415.00,1554
0.00,0.00,0.00,415.00,2051
0.00,0.00,0.00,416.00,2189
0.00,0.00,0.00,416.00,2632
0.00,0.00,0.00,415.00,2541
0.00,0.00,0.00,414.00,1951
0.00,0.00,0.00,413.00,2002
0.00,0.00,0.00,410.00,2161
0.00,0.00,0.00,375.00,2671
0.00,0.00,0.00,348.00,2686
0.00,0.00,0.00,333.00,1559
0.00,0.00,0.00,332.00,-537
0.00,0.00,0.00,305.00,-2144
0.00,0.00,0.00,299.00,-2784
0.00,0.00,0.00,310.00,-3286
0.00,0.00,0.00,309.00,-2537
0.00,0.00,0.00,311.00,-1820
0.00,0.00,0.00,318.00,-888
0.00,0.00,0.00,808.00,22342
0.00,0.00,0.00,669.00,-3859
0.00,0.00,0.00,680.00,-3140
0.00,0.00,0.00,771.00,4402
0.00,0.00,0.00,810.00,3113
0.00,0.00,0.00,841.00,2153
0.00,0.00,0.00,867.00,2135
0.00,0.00,0.00,882.00,2932
0.00,0.00,0.00,888.00,1926
0.00,0.00,0.00,891.00,2069
0.00,0.00,0.00,892.00,1672
0.00,0.00,0.00,892.00,2517
0.00,0.00,0.00,892.00,2133
0.00,0.00,0.00,891.00,1946
0.00,0.00,0.00,890.00,2126
0.00,0.00,0.00,890.00,2089
0.00,0.00,0.00,889.00,1799
0.00,0.00,0.00,888.00,1400
0.00,0.00,0.00,884.00,1876
53.00,41.00,0.00,880.00,3326
112.00,132.00,0.00,885.00,866
208.00,179.00,0.00,891.00,3287
151.00,237.00,0.00,897.00,1392
185.00,307.00,0.00,902.00,2901
308.00,427.00,0.00,904.00,1496
477.00,572.00,0.00,903.00,1213
534.00,702.00,0.00,904.00,1854
460.00,787.00,8.00,904.00,1160
421.00,828.00,25.00,904.00,1453
473.00,850.00,21.00,904.00,1069
480.00,864.00,40.00,905.00,578
458.00,875.00,57.00,905.00,1433
462.00,883.00,81.00,903.00,1630
486.00,888.00,102.00,903.00,1914
548.00,892.00,153.00,901.00,2123
583.00,899.00,236.00,897.00,2074
621.00,904.00,271.00,890.00,1534
678.00,908.00,315.00,872.00,1172
697.00,913.00,370.00,821.00,3675
614.00,918.00,436.00,436.00,7186
0.00,925.00,511.00,230.00,10980
0.00,908.00,115.00,221.00,12176
0.00,720.00,0.00,212.00,9985
0.00,0.00,0.00,279.00,6875
0.00,0.00,0.00,287.00,3020
0.00,0.00,0.00,281.00,2337
0.00,0.00,0.00,266.00,5120
0.00,0.00,0.00,240.00,7435
0.00,0.00,0.00,230.00,9312
0.00,0.00,0.00,262.00,14171
0.00,0.00,0.00,256.00,9587
0.00,0.00,0.00,248.00,7959
0.00,0.00,0.00,294.00,9002
0.00,0.00,0.00,843.00,8868
0.00,0.00,0.00,923.00,16378
0.00,0.00,0.00,927.00,3681
0.00,11.00,0.00,926.00,2061
220.00,75.00,0.00,925.00,4172
549.00,61.00,0.00,923.00,2049
649.00,0.00,0.00,921.00,1853
717.00,0.00,2.00,919.00,1854
750.00,22.00,158.00,916.00,1465
772.00,43.00,340.00,915.00,1586
789.00,68.00,493.00,912.00,1867
807.00,129.00,590.00,908.00,1693
819.00,193.00,678.00,902.00,2279
828.00,381.00,742.00,892.00,3309
831.00,716.00,809.00,866.00,2942
830.00,826.00,848.00,703.00,2804
768.00,842.00,873.00,286.00,1126
98.00,752.00,872.00,219.00,10286
0.00,390.00,759.00,210.00,11482
0.00,0.00,289.00,198.00,10618
0.00,0.00,17.00,292.00,10682
0.00,0.00,0.00,310.00,-273
0.00,0.00,0.00,295.00,134
0.00,0.00,0.00,285.00,2917
0.00,0.00,0.00,302.00,5876
0.00,0.00,0.00,293.00,5190
0.00,0.00,0.00,302.00,6992
0.00,0.00,0.00,299.00,7315
0.00,0.00,0.00,283.00,7387
0.00,0.00,0.00,316.00,4309
0.00,0.00,0.00,724.00,7460
0.00,0.00,0.00,902.00,16334
0.00,0.00,0.00,923.00,13139
317.00,120.00,134.00,923.00,5634
556.00,292.00,218.00,922.00,1918
609.00,337.00,242.00,922.00,2792
644.00,358.00,284.00,920.00,1816
677.00,391.00,351.00,917.00,1005
722.00,471.00,469.00,916.00,1710
750.00,509.00,553.00,912.00,1598
776.00,557.00,660.00,906.00,1761
794.00,591.00,711.00,900.00,1885
808.00,656.00,763.00,889.00,1822
819.00,768.00,817.00,867.00,3112
821.00,842.00,845.00,783.00,2896
794.00,878.00,868.00,395.00,4628
625.00,893.00,882.00,283.00,7132
0.00,868.00,881.00,229.00,12082
0.00,607.00,824.00,227.00,12100
0.00,0.00,328.00,197.00,8263
0.00,0.00,72.00,199.00,8932
0.00,0.00,0.00,225.00,2185
0.00,0.00,0.00,245.00,1784
0.00,0.00,0.00,248.00,4582
0.00,0.00,0.00,254.00,6850
0.00,0.00,0.00,260.00,8160
0.00,0.00,0.00,273.00,10544
0.00,0.00,0.00,280.00,6866
0.00,0.00,0.00,267.00,7437
0.00,0.00,0.00,570.00,5369
0.00,0.00,0.00,881.00,14929
0.00,0.00,0.00,928.00,16994
139.00,410.00,39.00,929.00,4284
573.00,660.00,284.00,926.00,4607
625.00,758.00,437.00,922.00,6639
623.00,800.00,521.00,916.00,1672
652.00,825.00,601.00,907.00,654
708.00,833.00,675.00,900.00,986
750.00,834.00,722.00,895.00,1392
774.00,827.00,764.00,891.00,1524
795.00,829.00,792.00,883.00,2546
809.00,834.00,820.00,870.00,1926
814.00,842.00,835.00,848.00,2711
813.00,860.00,848.00,788.00,2000
800.00,876.00,867.00,621.00,2663
742.00,892.00,883.00,288.00,3949
321.00,900.00,892.00,243.00,9930
0.00,832.00,884.00,207.00,8213
0.00,293.00,717.00,204.00,8916
0.00,0.00,126.00,167.00,6197
0.00,0.00,50.00,228.00,2173
0.00,0.00,24.00,240.00,-842
0.00,0.00,0.00,244.00,1179
0.00,0.00,0.00,261.00,3429
0.00,0.00,0.00,273.00,6110
0.00,0.00,0.00,278.00,7941
0.00,0.00,0.00,286.00,10200
0.00,0.00,0.00,329.00,6895
0.00,0.00,0.00,458.00,5741
0.00,0.00,0.00,762.00,5253
0.00,0.00,0.00,901.00,12407
0.00,310.00,56.00,919.00,11995
485.00,550.00,324.00,921.00,6478
592.00,568.00,381.00,923.00,5211
572.00,555.00,326.00,922.00,2053
586.00,545.00,354.00,918.00,1787
639.00,570.00,389.00,916.00,1274
719.00,614.00,558.00,912.00,1632
755.00,653.00,658.00,906.00,2029
774.00,681.00,714.00,901.00,1744
789.00,703.00,751.00,894.00,1810
804.00,738.00,786.00,885.00,2616
815.00,812.00,829.00,860.00,4020
806.00,844.00,851.00,763.00,2319
739.00,852.00,875.00,312.00,4696
133.00,775.00,881.00,234.00,1268
0.00,249.00,816.00,216.00,10333
0.00,0.00,394.00,198.00,10860
0.00,0.00,78.00,242.00,16114
0.00,0.00,31.00,313.00,111
0.00,0.00,3.00,305.00,4018
0.00,0.00,0.00,303.00,-216
0.00,0.00,0.00,313.00,4419
0.00,0.00,0.00,235.00,7840
0.00,0.00,0.00,174.00,13101
0.00,0.00,0.00,221.00,8650
0.00,0.00,0.00,203.00,8666
0.00,0.00,0.00,388.00,4974
0.00,0.00,0.00,850.00,11413
0.00,0.00,0.00,918.00,15878
0.00,0.00,48.00,924.00,554
245.00,23.00,160.00,926.00,4303
503.00,185.00,226.00,925.00,3704
567.00,364.00,302.00,921.00,1808
619.00,364.00,328.00,919.00,1055
685.00,332.00,406.00,917.00,1055
736.00,344.00,524.00,916.00,1508
773.00,406.00,646.00,910.00,1877
794.00,498.00,731.00,903.00,2004
808.00,589.00,779.00,890.00,2030
818.00,690.00,816.00,871.00,2594
823.00,779.00,842.00,827.00,2548
817.00,832.00,876.00,539.00,1649
769.00,852.00,895.00,282.00,3009
327.00,860.00,901.00,243.00,8473
0.00,706.00,891.00,220.00,17043
0.00,0.00,720.00,186.00,15723
0.00,0.00,272.00,211.00,12471
0.00,0.00,9.00,348.00,-666
